iter	Passed	Remaining
670	2834	1390
671	2836	1384
672	2845	1382
673	2848	1377
674	2858	1376
675	2864	1373
676	2866	1367
677	2867	1362
678	2877	1360
679	2879	1354
680	2880	1349
681	2881	1343
682	2883	1338
683	2889	1335
684	2891	1329
685	2893	1324
686	2895	1319
687	2896	1313
688	2898	1308
689	2902	1303
690	2940	1315
691	2942	1309
692	2949	1306
693	2953	1302
694	2955	1297
695	2957	1291
696	2959	1286
697	2961	1281
698	2967	1278
699	2969	1272
700	2981	1271
701	2999	1273
702	3002	1268
703	3013	1266
704	3016	1262
705	3021	1258
706	3024	1253
707	3030	1249
708	3036	1246
709	3038	1240
710	3045	1237
711	3050	1233
712	3053	1229
713	3054	1223
714	3059	1219
715	3062	1214
716	3064	1209
717	3065	1204
718	3067	1198
719	3068	1193
720	3069	1187
721	3073	1183
722	3076	1178
723	3078	1173
724	3080	1168
725	3082	1163
726	3083	1157
727	3084	1152
728	3088	1148
729	3092	1143
730	3095	1139
731	3096	1133
732	3098	1128
733	3099	1123
734	3103	1119
735	3109	1115
736	3111	1110
737	3112	1105
738	3114	1099
739	3115	1094
740	3124	1092
741	3129	1088
742	3131	1083
743	3137	1079
744	3141	1075
745	3144	1070
746	3145	1065
747	3152	1061
748	3153	1056
749	3156	1052
750	3158	1047
751	3159	1042
752	3160	1036
753	3166	1033
754	3170	1028
755	3171	1023
756	3172	1018
757	3173	1013
758	3175	1008
759	3176	1002
760	3179	998
761	3184	994
762	3185	989
763	3187	984
764	3188	979
765	3189	974
766	3197	971
767	3200	966
768	3202	961
769	3203	956
770	3204	951
771	3205	946
772	3206	941
773	3210	937
774	3214	933
775	3216	928
776	3219	924
777	3228	921
778	3229	916
779	3231	911
780	3232	906
781	3237	902
782	3241	898
783	3244	893
784	3245	888
785	3247	884
786	3251	879
787	3254	875
788	3255	870
789	3257	865
790	3258	861
791	3260	856
792	3261	851
793	3262	846
794	3267	842
795	3270	838
796	3272	833
797	3273	828
798	3274	823
799	3276	819
800	3282	815
801	3285	811
802	3286	806
803	3287	801
804	3288	796
805	3289	791
806	3295	788
807	3298	783
808	3301	779
809	3303	774
810	3307	770
811	3312	766
812	3314	762
813	3316	757
814	3317	753
815	3318	748
816	3322	744
817	3326	740
818	3328	735
819	3331	731
820	3332	726
821	3336	722
822	3339	718
823	3341	713
824	3343	709
825	3344	704
826	3346	700
827	3348	695
828	3353	691
829	3354	687
830	3356	682
831	3357	677
832	3358	673
833	3359	668
834	3360	664
835	3361	659
836	3363	655
837	3366	650
838	3368	646
839	3370	641
840	3372	637
841	3373	633
842	3374	628
843	3383	625
844	3389	621
845	3402	619
846	3405	615
847	3413	611
848	3420	608
849	3431	605
850	3432	601
851	3434	596
852	3435	592
853	3439	588
854	3449	584
855	3451	580
856	3452	576
857	3465	573
858	3467	569
859	3468	564
860	3482	562
861	3491	558
862	3496	555
863	3498	550
864	3499	546
865	3506	542
866	3509	538
867	3512	534
868	3514	529
869	3518	525
870	3525	522
871	3526	517
872	3528	513
873	3529	508
874	3530	504
875	3538	500
876	3540	496
877	3542	492
878	3543	487
879	3544	483
880	3554	480
881	3555	475
882	3556	471
883	3557	466
884	3558	462
885	3559	458
886	3560	453
887	3568	450
888	3569	445
889	3574	441
890	3590	439
891	3592	435
892	3597	431
893	3603	427
894	3604	422
895	3611	419
896	3614	415
897	3615	410
898	3617	406
899	3619	402
900	3623	398
901	3630	394
902	3631	390
903	3633	385
904	3634	381
905	3645	378
906	3648	374
907	3649	369
908	3651	365
909	3658	361
910	3661	357
911	3664	353
912	3675	350
913	3677	345
914	3678	341
915	3679	337
916	3681	333
917	3685	329
918	3689	325
919	3692	321
920	3693	316
921	3694	312
922	3695	308
923	3701	304
924	3702	300
925	3703	295
926	3704	291
927	3705	287
928	3707	283
929	3708	279
930	3709	274
931	3710	270
932	3714	266
933	3716	262
934	3718	258
935	3721	254
936	3723	250
937	3724	246
938	3725	241
939	3726	237
940	3728	233
941	3730	229
942	3731	225
943	3732	221
944	3733	217
945	3734	213
946	3736	209
947	3737	205
948	3739	200
949	3747	197
950	3750	193
951	3753	189
952	3754	185
953	3755	181
954	3758	177
955	3759	173
956	3760	168
957	3761	164
958	3762	160
959	3763	156
960	3765	152
961	3766	148
962	3768	144
963	3772	140
964	3774	136
965	3775	132
966	3776	128
967	3777	124
968	3778	120
969	3779	116
970	3781	112
971	3782	108
972	3783	104
973	3783	101
974	3786	97
975	3788	93
976	3789	89
977	3791	85
978	3792	81
979	3793	77
980	3794	73
981	3796	69
982	3797	65
983	3797	61
984	3798	57
985	3800	53
986	3802	50
987	3804	46
988	3805	42
989	3806	38
990	3807	34
991	3808	30
992	3809	26
993	3810	23
994	3811	19
995	3812	15
996	3813	11
997	3813	7
998	3817	3
999	3819	0
